"","svspp","NOAA_label","validated_species","genus","subfamily","family","order","class","super_class"
"99",141,"Centropristis striata","Centropristis striata","Centropristis",NA,"Serranidae","Perciformes/Serranoidei","Teleostei","Osteichthyes"
"100",142,"Orthopristis chrysoptera","Orthopristis chrysoptera","Orthopristis","Haemulinae","Haemulidae","Eupercaria/misc","Teleostei","Osteichthyes"
"101",143,"Stenotomus chrysops","Stenotomus chrysops","Stenotomus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes"
"102",144,"Epigonus pandionis","Epigonus pandionis","Epigonus",NA,"Epigonidae","Acropomatiformes","Teleostei","Osteichthyes"
"103",145,"Cynoscion regalis","Cynoscion regalis","Cynoscion",NA,"Sciaenidae","Eupercaria/misc","Teleostei","Osteichthyes"
"104",146,"Menticirrhus saxatilis","Menticirrhus saxatilis","Menticirrhus",NA,"Sciaenidae","Eupercaria/misc","Teleostei","Osteichthyes"
"105",148,"Bairdiella chrysoura","Bairdiella chrysoura","Bairdiella",NA,"Sciaenidae","Eupercaria/misc","Teleostei","Osteichthyes"
"106",149,"Leiostomus xanthurus","Leiostomus xanthurus","Leiostomus",NA,"Sciaenidae","Eupercaria/misc","Teleostei","Osteichthyes"
"107",150,"Howella sherborni","Howella sherborni","Howella",NA,"Howellidae","Acropomatiformes","Teleostei","Osteichthyes"
"108",151,"Lopholatilus chamaeleonticeps","Lopholatilus chamaeleonticeps","Lopholatilus",NA,"Latilidae","Eupercaria/misc","Teleostei","Osteichthyes"
"109",154,"Pontinus longispinis","Pontinus longispinis","Pontinus","Scorpaeninae","Scorpaenidae","Perciformes/Scorpaenoidei","Teleostei","Osteichthyes"
"110",155,"Sebastes fasciatus","Sebastes fasciatus","Sebastes","Sebastinae","Sebastidae","Perciformes/Scorpaenoidei","Teleostei","Osteichthyes"
"111",156,"Helicolenus dactylopterus","Helicolenus dactylopterus","Helicolenus","Sebastinae","Sebastidae","Perciformes/Scorpaenoidei","Teleostei","Osteichthyes"
"112",158,"Antigonia capros","Antigonia capros","Antigonia",NA,"Antigoniidae","Acanthuriformes","Teleostei","Osteichthyes"
"113",161,"Triglops murrayi","Triglops murrayi","Triglops",NA,"Cottidae","Perciformes/Cottoidei","Teleostei","Osteichthyes"
"114",162,"Myoxocephalus scorpius","Myoxocephalus scorpius","Myoxocephalus",NA,"Cottidae","Perciformes/Cottoidei","Teleostei","Osteichthyes"
"115",163,"Myoxocephalus octodecemspinosus","Myoxocephalus octodecemspinosus","Myoxocephalus",NA,"Cottidae","Perciformes/Cottoidei","Teleostei","Osteichthyes"
"116",164,"Hemitripterus americanus","Hemitripterus americanus","Hemitripterus","Hemitripterinae","Agonidae","Perciformes/Cottoidei","Teleostei","Osteichthyes"
"117",165,"Aspidophoroides monopterygius","Aspidophoroides monopterygius","Aspidophoroides","Anoplagoninae","Agonidae","Perciformes/Cottoidei","Teleostei","Osteichthyes"
"118",166,"Myoxocephalus aenaeus","Myoxocephalus aenaeus","Myoxocephalus",NA,"Cottidae","Perciformes/Cottoidei","Teleostei","Osteichthyes"
"119",167,"Liparis inquilinus","Liparis inquilinus","Liparis",NA,"Liparidae","Perciformes/Cottoidei","Teleostei","Osteichthyes"
"120",168,"Cyclopterus lumpus","Cyclopterus lumpus","Cyclopterus","Cyclopterinae","Cyclopteridae","Perciformes/Cottoidei","Teleostei","Osteichthyes"
"121",169,"Eumicrotremus spinosus","Eumicrotremus spinosus","Eumicrotremus","Eumicrotreminae","Cyclopteridae","Perciformes/Cottoidei","Teleostei","Osteichthyes"
"122",170,"Liparis atlanticus","Liparis atlanticus","Liparis",NA,"Liparidae","Perciformes/Cottoidei","Teleostei","Osteichthyes"
