"","family","genus","species","taxonomic_rank","taxon","lme","fao","habitat","reference_habitat","feeding_mode","reference_feeding_mode","trophic_level","level_tl","reference_tl","body_shape","fin_shape","ar","level_ar","reference_ar","offspring_size","level_offspring_size","reference_offspring_size","spawning_type","reference_spawning_type","age_maturity","level_age_maturity","reference_age_maturity","fecundity","level_fecundity","reference_fecundity","l_inf","k","level_growth","reference_growth","max_obs_length","level_length_max","reference_length_max","age_max","level_age_max","reference_age_max","temperature","reference_temperature","w_inf","reference_w_inf","natural_mortality","reference_mortality","length_maturity","reference_length_maturity"
"152","Chlorophthalmidae","Parasudis","Parasudis truculenta","S","Parasudis truculenta",8,21,"demersal","FroesePauly2018, OBIS2018","piscivorous","FroesePauly2018",4.2,"spe","FroesePauly2018","fusiform","forked",1.22,"spe","FroesePauly2018",1.29558300090964,"fam","FishLife","non-guarder","FroesePauly2018",2.08399088166062,"fam","FishLife",5739.8035423034,"fam","FishLife",21.5925469633185,0.388065590814923,"fam-ocean","FishLife",25,"spe","FroesePauly2018",10,"fam","D'onghia2006",13.7929384824209,"FishLife",76.6476514754446,76.6476514754446,0.829400631093055,"FishLife",11.4217054873933,"FishLife"
"153","Chlorophthalmidae","Parasudis","Parasudis truculenta","S","Parasudis truculenta",9,21,"demersal","FroesePauly2018, OBIS2018","piscivorous","FroesePauly2018",4.2,"spe","FroesePauly2018","fusiform","forked",1.22,"spe","FroesePauly2018",1.29558300090964,"fam","FishLife","non-guarder","FroesePauly2018",2.08399088166062,"fam","FishLife",5739.8035423034,"fam","FishLife",21.5925469633185,0.388065590814923,"fam-ocean","FishLife",25,"spe","FroesePauly2018",10,"fam","D'onghia2006",13.7929384824209,"FishLife",76.6476514754446,76.6476514754446,0.829400631093055,"FishLife",11.4217054873933,"FishLife"
"474","Paralepididae","Paralepis","Paralepis coregonoides","S","Paralepis coregonoides",7,21,"bathypelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.07,"spe","FroesePauly2018","elongated","forked",0.83,"spe","FroesePauly2018",1.3098567490378,"fam","FishLife","non-guarder","FroesePauly2018",2.03718575650367,"fam","FishLife",6732.19626705368,"fam","FishLife",25.6284726778771,0.466656831824826,"fam-ocean","FishLife",50,"spe","FroesePauly2018",4,"fam-ocean","FroesePauly2018",13.8733749447768,"FishLife",125.599307680533,125.599307680533,0.730907541670782,"FishLife",14.2563422165624,"FishLife"
"475","Paralepididae","Paralepis","Paralepis coregonoides","S","Paralepis coregonoides",8,21,"bathypelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.07,"spe","FroesePauly2018","elongated","forked",0.83,"spe","FroesePauly2018",1.3098567490378,"fam","FishLife","non-guarder","FroesePauly2018",2.03718575650367,"fam","FishLife",6732.19626705368,"fam","FishLife",25.6284726778771,0.466656831824826,"fam-ocean","FishLife",50,"spe","FroesePauly2018",4,"fam-ocean","FroesePauly2018",13.8733749447768,"FishLife",125.599307680533,125.599307680533,0.730907541670782,"FishLife",14.2563422165624,"FishLife"
"476","Paralepididae","Paralepis","Paralepis coregonoides","S","Paralepis coregonoides",9,21,"bathypelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.07,"spe","FroesePauly2018","elongated","forked",0.83,"spe","FroesePauly2018",1.3098567490378,"fam","FishLife","non-guarder","FroesePauly2018",2.03718575650367,"fam","FishLife",6732.19626705368,"fam","FishLife",25.6284726778771,0.466656831824826,"fam-ocean","FishLife",50,"spe","FroesePauly2018",4,"fam-ocean","FroesePauly2018",13.8733749447768,"FishLife",125.599307680533,125.599307680533,0.730907541670782,"FishLife",14.2563422165624,"FishLife"
"472","Paralepididae","Arctozenus","Arctozenus risso","S","Arctozenus risso",7,21,"bathypelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.22,"spe","FroesePauly2018","elongated","forked",2.13,"spe","FroesePauly2018",1.9,"spe","Pecuchet2017","non-guarder","FroesePauly2018",6,"spe","Wiedmann2015",1e+05,"spe","Wiedmann2014",40.5903723321632,0.260742269480083,"fam-ocean","FishLife",30,"spe","FroesePauly2018",11,"spe","Wiedmann2014",11.5538302406283,"FishLife",493.172611330182,493.172611330182,0.464185374397393,"FishLife",21.6339081516144,"FishLife"
"473","Paralepididae","Arctozenus","Arctozenus risso","S","Arctozenus risso",8,21,"bathypelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.22,"spe","FroesePauly2018","elongated","forked",2.13,"spe","FroesePauly2018",1.9,"spe","Pecuchet2017","non-guarder","FroesePauly2018",6,"spe","Wiedmann2015",1e+05,"spe","Wiedmann2014",40.5903723321632,0.260742269480083,"fam-ocean","FishLife",30,"spe","FroesePauly2018",11,"spe","Wiedmann2014",11.5538302406283,"FishLife",493.172611330182,493.172611330182,0.464185374397393,"FishLife",21.6339081516144,"FishLife"
"747","Sternoptychidae","Argyropelecus","Argyropelecus aculeatus","S","Argyropelecus aculeatus",7,21,"bathypelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.67,"spe","FroesePauly2018","short and/or deep","forked",3.5,"spe","FroesePauly2018",1.0322255356934,"gen","FishLife","non-guarder","inferred from genus",1.04783025027604,"gen-ocean","FishLife",1800.69183583084,"fam-ocean","FishLife",6.09737553506504,0.761049671135103,"gen-ocean","FishLife",8,"spe","FroesePauly2018",1,"gen","FroesePauly2018",7.20484937668884,"FishLife",1.99622137936823,1.99622137936823,2.29428347950542,"FishLife",3.35321753596624,"FishLife"
"748","Sternoptychidae","Argyropelecus","Argyropelecus aculeatus","S","Argyropelecus aculeatus",8,21,"bathypelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.67,"spe","FroesePauly2018","short and/or deep","forked",3.5,"spe","FroesePauly2018",1.0322255356934,"gen","FishLife","non-guarder","inferred from genus",1.04783025027604,"gen-ocean","FishLife",1800.69183583084,"fam-ocean","FishLife",6.09737553506504,0.761049671135103,"gen-ocean","FishLife",8,"spe","FroesePauly2018",1,"gen","FroesePauly2018",7.20484937668884,"FishLife",1.99622137936823,1.99622137936823,2.29428347950542,"FishLife",3.35321753596624,"FishLife"
"753","Sternoptychidae","Polyipnus","Polyipnus clarus","S","Polyipnus clarus",6,21,"bathydemersal","FroesePauly2018, OBIS2018","benthivorous","inferred from genus",3.41503663566797,"genus","FishLife","short and/or deep","forked",1.81,"gen","FroesePauly2018",1.1179800200817,"fam","FishLife","non-guarder","inferred from family",1.05270956601344,"fam-FAO","FishLife",2060.4451512337,"fam-ocean","FishLife",6.72214308085615,0.779980246931197,"fam-ocean","FishLife",6,"spe","FroesePauly2018",4,"fam","FroesePauly2018",9.01546310831443,"FishLife",2.67196111381674,2.67196111381674,2.18191300649158,"FishLife",3.63537807291347,"FishLife"
